Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud;Texto Cajetines;Longitud;Latitud;dir
439100,5100000000;4473716,8100000000;13/12/2010;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;15;PMR;Línea;1;5;;-3.717773279;40.411844481;SEGOVIA, RONDA, DE15
439165,7100000000;4473430,7700000000;12/12/2016;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;47;PMR;Línea;1;5,5;;-3.716977383;40.409271958;SEGOVIA, RONDA, DE47
439223,4100000000;4473355,7800000000;31/05/2013;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;PMR;Línea;1;5,5;;-3.71629035;40.408601082;SEGOVIA, RONDA, DE55
439485,3500000000;4473218,9900000000;03/12/2008;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;PMR;Línea;1;5;;-3.713190304;40.407387901;SEGOVIA, RONDA, DE85
439762,5900000000;4473522,6000000000;18/02/2015;01  CENTRO;01-01 PALACIO;SIERPE, CALLE, DE LA;4;PMR;Línea;1;5,5;;-3.709951947;40.41014314;SIERPE, CALLE, DE LA4
439983,8600000000;4474694,7900000000;13/11/2009;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;6A;PMR;Línea;1;5;;-3.707454882;40.420718222;SILVA, CALLE, DE6A
439670,5900000000;4473299,6300000000;03/06/2014;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;98;PMR;Línea;1;5;;-3.711015127;40.408127704;TOLEDO, CALLE, DE98
439590,6600000000;4473313,2800000000;11/11/2016;01  CENTRO;01-01 PALACIO;VIRGEN DE LA PALOMA, PLAZA, DE LA;4;PMR;Línea;1;5,5;;-3.711958273;40.408244358;VIRGEN DE LA PALOMA, PLAZA, DE LA4
440540,4400000000;4473162,2100000000;09/05/2001;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;91;PMR;Línea;1;5;;-3.700751276;40.406952052;AMPARO, CALLE, DE91
440582,7900000000;4473322,4400000000;20/02/2023;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;3;PMR;Batería;2;7;;-3.700267069;40.40839877;ARGUMOSA, CALLE, DE3
440646,4400000000;4473308,7100000000;30/03/2017;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;9;PMR;Batería;1;3;;-3.69951575;40.408279481;ARGUMOSA, CALLE, DE9
440922,6500000000;4473214,4200000000;17/05/2017;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;28;PMR;Línea;1;5,6;;-3.696251953;40.407449379;ARGUMOSA, CALLE, DE28
440339,8100000000;4473946,1500000000;18/12/2015;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;19;PMR;Línea;1;6,5;;-3.703189097;40.414000235;ATOCHA, CALLE, DE19
440871,7400000000;4473133,4600000000;10/03/2009;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;14;PMR;Línea;1;5,5;;-3.696844391;40.406716394;ATOCHA, RONDA, DE14
440545,2400000000;4473573,4100000000;11/03/1999;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;23;PMR;Línea;1;5,15;;-3.70073317;40.410657026;AVE MARIA, CALLE, DEL23
439713,6900000000;4473224,0100000000;08/11/2021;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;5;PMR;Línea;1;6,5;DOMINGOS Y FESTIVOS DE 0 H. A 16 H;-3.710499924;40.40744978;CAPITAN SALAZAR MARTINEZ, CALLE, DEL5
440151,3700000000;4473938,9100000000;30/03/2017;01  CENTRO;01-02 EMBAJADORES;CONCEPCION JERONIMA, CALLE, DE LA;15;PMR;Línea;1;5,5;;-3.705409251;40.413921109;CONCEPCION JERONIMA, CALLE, DE LA15
440211,3200000000;4473894,9600000000;23/02/2010;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;5;PMR;Línea;1;5;;-3.704698669;40.413529321;CONDE DE ROMANONES, CALLE, DEL5
440675,4500000000;4473169,7700000000;10/01/2014;01  CENTRO;01-02 EMBAJADORES;DOCTOR FOURQUET, CALLE, DEL;35;PMR;Línea;1;5;;-3.699160974;40.407030203;DOCTOR FOURQUET, CALLE, DEL35
440736,3800000000;4473337,2700000000;12/06/2018;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;7;PMR;Línea;2;9,6;;-3.698458528;40.408543557;DOCTOR PIGA, CALLE, DEL7
440758,9600000000;4473320,4000000000;31/07/2018;01  CENTRO;01-02 EMBAJADORES;DOCTOR PIGA, CALLE, DEL;11;PMR;Línea;1;5,7;;-3.698190842;40.408392697;DOCTOR PIGA, CALLE, DEL11
440060,6100000000;4473923,5300000000;15/06/2022;01  CENTRO;01-02 EMBAJADORES;DUQUE DE RIVAS, CALLE, DEL;2;PMR;Línea;1;8,5;LABORABLES DE LUNES A VIERNES DE 8 A 15 H.;-3.706477531;40.413776323;DUQUE DE RIVAS, CALLE, DEL2
440054,6000000000;4473522,6900000000;24/06/2003;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;12;PMR;Línea;2;10;;-3.706510648;40.410164913;EMBAJADORES, CALLE, DE12
440188,2800000000;4473345,4200000000;01/12/2004;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;31;PMR;Línea;3;16,5;;-3.704918512;40.408577132;EMBAJADORES, CALLE, DE31
440283,8200000000;4473177,5200000000;21/09/2021;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;45;PMR;Línea;1;5,5;;-3.703776779;40.407071514;EMBAJADORES, CALLE, DE45
440585,9700000000;4473488,1600000000;03/08/2017;01  CENTRO;01-02 EMBAJADORES;ESCUADRA, CALLE, DE LA;12;PMR;Línea;1;5,5;;-3.700245068;40.409891841;ESCUADRA, CALLE, DE LA12
440583,9000000000;4473520,0300000000;04/08/2009;01  CENTRO;01-02 EMBAJADORES;ESPERANZA, CALLE, DE;6;PMR;Línea;1;5,93;;-3.700272455;40.410178492;ESPERANZA, CALLE, DE6
439972,0200000000;4473776,2000000000;03/03/2010;01  CENTRO;01-02 EMBAJADORES;ESTUDIOS, CALLE, DE LOS;2;PMR;Línea;1;5;;-3.707507823;40.412442363;ESTUDIOS, CALLE, DE LOS2
440087,9600000000;4473635,3700000000;22/04/2019;01  CENTRO;01-02 EMBAJADORES;JUANELO, CALLE, DE;18;PMR;Línea;1;5;;-3.706128026;40.411182543;JUANELO, CALLE, DE18
440367,3000000000;4473618,9200000000;05/04/2011;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;18;PMR;Línea;1;5;;-3.70283455;40.411054201;LAVAPIES, CALLE, DE18
439835,7700000000;4473533,9100000000;04/01/2018;01  CENTRO;01-02 EMBAJADORES;LOPEZ SILVA, CALLE, DE;2;PMR;Línea;1;5,5;;-3.709090619;40.410250398;LOPEZ SILVA, CALLE, DE2
440425,6200000000;4473160,6600000000;08/10/2015;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;73;PMR;Línea;1;6;;-3.702104144;40.406930337;MESON DE PAREDES, CALLE, DEL73
